VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PickupCell,DropoffCell
1,4/12/15 22:53,4/12/15 23:02,1,2.1,-74.009,40.718,1,N,-73.99005127,40.73339462,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,25:75,27:70
1,4/12/15 22:53,4/12/15 23:04,2,2.5,-73.982,40.772,1,N,-73.94763947,40.77607727,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,1.002083333,29:59:00
1,4/12/15 22:53,4/12/15 23:27,1,8.6,-73.876,40.774,1,N,-73.98925781,40.75866318,1,31.5,0.5,0.5,6.55,0.0,0.3,39.35,40:50:00,24:66
1,4/12/15 22:53,4/12/15 23:06,2,2.2,-74.007,40.741,1,N,-73.98833466,40.74768448,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,1.007638889,25:68
1,4/12/15 22:53,4/12/15 22:59,1,1.9,-73.953,40.781,1,N,-73.97774506,40.77894974,1,7.5,0.5,0.5,1.75,0.0,0.3,10.55,27:58:00,1.001388889
2,4/12/15 22:53,4/12/15 23:03,1,1.87,-73.966,40.805,1,N,-73.97496033,40.78274155,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96,22:56,1.000694444
2,4/12/15 22:53,4/12/15 22:58,2,1.02,-73.954,40.766,1,N,-73.94699097,40.7741394,1,5.5,0.5,0.5,1.7,0.0,0.3,8.5,29:61,29:59:00
2,4/12/15 22:53,4/12/15 23:07,1,2.42,-73.98,40.755,1,N,-73.97821808,40.72943115,1,11.0,0.5,0.5,2.46,0.0,0.3,14.76,26:66,29:70
2,4/12/15 22:53,4/12/15 23:14,1,2.78,-74.011,40.714,1,N,-73.9804306,40.73434067,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8,26:76,28:69
2,4/12/15 22:53,4/12/15 23:13,1,3.05,-73.987,40.739,1,N,-73.96060944,40.77561188,2,15.0,0.5,0.5,0.0,0.0,0.3,16.3,27:69,26:60
2,4/12/15 22:53,4/12/15 23:01,5,2.31,-74.009,40.72,1,N,-74.00553131,40.74829102,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,25:75,0.965277778
1,4/12/15 22:53,4/12/15 23:19,1,5.5,-73.976,40.753,1,N,-73.95898438,40.71231079,2,23.0,0.5,0.5,0.0,0.0,0.3,24.3,27:66,34:70
1,4/12/15 22:53,4/12/15 23:19,1,3.7,-73.987,40.767,1,N,-73.98810577,40.72555923,1,17.5,0.5,0.5,2.0,0.0,0.3,20.8,1.003472222,28:71
1,4/12/15 22:53,4/12/15 23:02,3,1.5,-73.968,40.802,1,N,-73.97890472,40.78540802,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,22:57,0.959027778
1,4/12/15 22:53,4/12/15 23:14,3,8.8,-73.863,40.769,1,N,-73.96320343,40.79889297,1,27.0,0.5,0.5,6.76,5.54,0.3,40.6,43:50:00,23:57
2,4/12/15 22:53,4/12/15 22:58,2,0.98,-73.996,40.72,1,N,-74.00749207,40.71474838,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,27:73,26:76
2,4/12/15 22:53,4/12/15 22:56,2,0.66,-74.008,40.742,1,N,-74.00244141,40.75017166,1,4.5,0.5,0.5,1.45,0.0,0.3,7.25,1.007638889,1.00625
2,4/12/15 22:53,4/12/15 23:04,2,1.61,-73.954,40.775,1,N,-73.96799469,40.7553978,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,28:59:00,28:64
2,4/12/15 22:53,4/12/15 23:08,1,3.86,-73.971,40.764,1,N,-73.98049164,40.72790146,1,15.0,0.5,0.5,1.0,0.0,0.3,17.3,26:63,29:70
1,4/12/15 22:53,4/12/15 22:59,1,0.9,-73.954,40.764,1,N,-73.9666748,40.76327896,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,29:61,27:63
1,4/12/15 22:53,4/12/15 23:04,3,1.7,-73.996,40.738,1,N,-73.9786377,40.72455978,1,9.0,0.5,0.5,2.0,0.0,0.3,12.3,25:70,30:71
1,4/12/15 22:53,4/12/15 23:14,1,3.1,-73.984,40.744,1,N,-74.00737762,40.70549011,1,15.5,0.5,0.5,3.35,0.0,0.3,20.15,26:68,27:77
