pickup_latitude,pickup_longitude,n
40.763,-73.974,136
40.746,-73.994,137
40.719,-74.007,18
40.755,-73.984,81
40.645,-73.782,395
40.755,-73.988,40
40.727,-73.997,11
40.756,-73.965,54
40.764,-73.995,4
40.727,-73.98,40
40.751,-73.975,134
40.645,-73.796,2
40.751,-73.994,474
40.778,-73.979,44
40.741,-73.989,40
40.647,-73.789,49
40.765,-73.983,46
40.75,-73.974,29
40.727,-74.007,36
40.733,-74.006,84
40.735,-73.99,110
40.771,-73.984,24
40.734,-73.99,138
40.765,-73.988,103
40.724,-73.979,39
40.765,-73.984,80
40.757,-73.982,53
40.746,-73.988,36
40.755,-73.992,57
40.751,-73.979,40
40.744,-73.999,40
40.735,-73.994,83
40.749,-73.992,248
40.762,-73.969,37
40.757,-73.961,12
40.763,-73.968,120
40.735,-73.991,105
40.766,-73.994,11
40.775,-73.982,133
40.759,-73.974,24
40.705,-74.017,52
40.764,-73.998,11
40.795,-73.933,4
40.75,-74.006,11
40.771,-73.987,29
40.773,-73.96,54
40.755,-73.969,82
40.754,-73.977,54
40.764,-73.973,202
40.761,-73.967,62
40.762,-73.975,93
40.753,-73.967,28
40.76,-73.984,79
40.739,-73.991,52
40.742,-73.996,5
40.782,-73.952,30
40.74,-73.994,29
40.731,-73.986,84
40.765,-73.982,62
40.775,-73.964,41
40.752,-73.973,67
40.768,-73.983,101
40.749,-73.975,33
40.758,-73.971,99
40.777,-73.953,47
40.747,-73.996,6
40.766,-73.957,45
40.774,-73.872,13
40.746,-73.935,1
40.798,-73.969,18
40.759,-73.988,70
40.803,-73.945,7
40.764,-73.964,22
40.776,-73.98,62
40.78,-73.962,42
40.793,-73.975,25
40.748,-74.001,12
40.779,-73.956,104
40.786,-73.978,65
40.769,-73.965,79
40.787,-73.945,14
40.742,-73.987,24
40.743,-73.996,69
40.726,-73.992,151
40.721,-74.01,76
40.742,-74.005,129
40.743,-73.994,11
40.767,-73.967,60
40.731,-73.982,55
40.77,-73.951,24
40.779,-73.978,31
40.749,-73.985,23
40.749,-73.995,20
40.734,-74.006,96
40.772,-73.964,21
40.772,-73.963,28
40.773,-73.989,18
40.764,-73.978,72
40.725,-73.979,4
40.777,-73.943,5
40.751,-73.981,45
40.794,-73.97,17
40.744,-73.995,35
40.761,-74.0,19
40.763,-73.977,42
40.74,-73.992,15
40.73,-73.998,23
40.738,-74.006,43
40.763,-73.997,38
40.767,-73.978,17
40.752,-73.986,82
40.795,-73.972,60
40.751,-73.978,68
40.764,-73.969,96
40.739,-74.0,45
40.775,-73.958,24
40.785,-73.973,72
40.723,-74.003,42
40.774,-73.952,19
40.779,-73.951,91
40.742,-73.997,88
40.761,-73.978,25
40.781,-73.96,15
40.746,-74.001,43
40.747,-73.974,70
40.778,-73.959,42
40.705,-74.008,64
40.733,-74.008,17
40.757,-73.934,1
40.751,-73.99,110
40.771,-73.963,22
40.761,-73.999,61
40.751,-73.974,114
40.738,-73.992,108
40.748,-74.005,27
40.81,-73.963,2
40.692,-73.983,3
40.744,-73.973,84
40.792,-73.976,9
40.774,-73.966,19
40.774,-73.985,48
40.705,-74.01,55
40.75,-73.992,224
40.782,-73.954,32
40.77,-73.957,42
40.749,-73.976,72
40.74,-73.976,51
40.748,-73.993,103
40.748,-74.004,112
40.745,-74.002,44
40.759,-73.985,57
40.725,-74.004,34
40.73,-73.997,24
40.735,-73.979,7
40.764,-73.963,7
40.728,-73.982,66
40.737,-74.005,47
40.752,-74.005,35
40.754,-73.989,49
40.762,-73.968,139
40.78,-73.96,21
40.737,-73.984,74
40.775,-73.985,7
40.735,-73.985,10
40.677,-74.001,1
40.737,-73.988,55
40.709,-74.015,31
40.743,-73.989,44
40.765,-73.97,60
40.712,-73.998,2
40.708,-74.001,2
40.772,-73.947,22
40.738,-74.001,6
40.737,-74.0,20
